"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"225940E","0","0","0","0","0","0","1","20251012","20251228"
"225944E","0","0","0","0","0","0","0","20251225","20251225"
"225945E","0","0","0","0","0","0","0","20251225","20251225"
"225946E","0","0","0","0","0","1","0","20251011","20251227"
"225947E","0","0","0","0","0","1","0","20251011","20251227"
"225948E","0","0","0","0","0","1","0","20251011","20251227"
"225949E","0","0","0","0","0","1","0","20251011","20251227"
"225950E","0","0","0","0","0","1","0","20251227","20251227"
"225953E","0","0","0","0","0","1","0","20251011","20251227"
"225958E","0","0","0","0","0","1","0","20251011","20251220"
"225964E","1","1","1","0","0","1","0","20251222","20251231"
"225965E","1","1","1","0","0","1","0","20251222","20251231"
"225984E","0","0","1","0","0","0","0","20251015","20251231"
"225999E","1","1","1","0","0","0","0","20251222","20251231"
"226001E","1","1","1","0","0","0","0","20251222","20251231"
"226014E","0","0","0","0","0","0","1","20251012","20251228"
"226015E","0","0","0","0","0","0","1","20251012","20251228"
"226016E","0","0","0","0","0","0","1","20251012","20251228"
"226021E","0","0","0","0","0","1","0","20251011","20251227"
"226022E","0","0","0","0","0","1","0","20251011","20251227"
"226028E","0","0","1","0","0","0","0","20251015","20251217"
"226029E","0","0","0","0","1","0","0","20251010","20251219"
"226033E","1","1","1","0","0","1","0","20251222","20251231"
"226034E","1","1","1","0","0","1","0","20251222","20251231"
"226059E","1","1","1","0","0","0","0","20251222","20251231"
"226060E","1","1","1","0","0","0","0","20251222","20251231"
"226062E","1","1","1","0","0","0","0","20251222","20251231"
"226063E","1","1","1","0","0","0","0","20251222","20251231"
"226064E","1","1","1","0","0","0","0","20251222","20251231"
"226065E","1","1","1","0","0","0","0","20251222","20251231"
"226077E","0","0","0","0","0","0","1","20251012","20251228"
"226079E","0","0","0","0","0","0","0","20251225","20251225"
"226080E","0","0","0","0","0","1","0","20251011","20251227"
"226081E","0","0","0","0","0","1","0","20251011","20251227"
"226082E","0","0","0","0","0","1","0","20251011","20251227"
"226084E","0","0","0","0","0","1","0","20251227","20251227"
"226089E","0","0","0","0","0","1","0","20251227","20251227"
"226091E","1","0","0","0","0","0","0","20251013","20251215"
"226093E","0","0","0","1","0","0","0","20251009","20251218"
"226117E","1","0","0","0","0","0","0","20251013","20251229"
"226131E","1","1","1","0","0","0","0","20251222","20251231"
"226161E","0","0","0","0","0","0","0","20251225","20251225"
"226166E","0","0","0","0","0","1","0","20251011","20251227"
