"service_id","date","exception_type"
"225940E","20251012","1"
"225940E","20251019","1"
"225940E","20251026","1"
"225940E","20251101","1"
"225940E","20251102","1"
"225940E","20251109","1"
"225940E","20251116","1"
"225940E","20251123","1"
"225940E","20251130","1"
"225940E","20251207","1"
"225940E","20251208","1"
"225940E","20251214","1"
"225940E","20251221","1"
"225940E","20251226","1"
"225940E","20251228","1"
"225944E","20251225","1"
"225945E","20251225","1"
"225946E","20251011","1"
"225946E","20251018","1"
"225946E","20251025","1"
"225946E","20251101","2"
"225946E","20251108","1"
"225946E","20251115","1"
"225946E","20251122","1"
"225946E","20251129","1"
"225946E","20251206","1"
"225946E","20251213","1"
"225946E","20251220","1"
"225946E","20251227","1"
"225947E","20251011","1"
"225947E","20251018","1"
"225947E","20251025","1"
"225947E","20251101","2"
"225947E","20251108","1"
"225947E","20251115","1"
"225947E","20251122","1"
"225947E","20251129","1"
"225947E","20251206","1"
"225947E","20251213","1"
"225947E","20251220","1"
"225947E","20251227","1"
"225948E","20251011","1"
"225948E","20251018","1"
"225948E","20251025","1"
"225948E","20251101","2"
"225948E","20251108","1"
"225948E","20251115","1"
"225948E","20251122","1"
"225948E","20251129","1"
"225948E","20251206","1"
"225948E","20251213","1"
"225948E","20251220","1"
"225948E","20251227","1"
"225949E","20251011","1"
"225949E","20251018","1"
"225949E","20251025","1"
"225949E","20251101","2"
"225949E","20251108","1"
"225949E","20251115","1"
"225949E","20251122","1"
"225949E","20251129","1"
"225949E","20251206","1"
"225949E","20251213","1"
"225949E","20251220","1"
"225949E","20251227","1"
"225950E","20251227","1"
"225953E","20251011","1"
"225953E","20251018","1"
"225953E","20251025","1"
"225953E","20251101","2"
"225953E","20251108","1"
"225953E","20251115","1"
"225953E","20251122","1"
"225953E","20251129","1"
"225953E","20251206","1"
"225953E","20251213","1"
"225953E","20251220","1"
"225953E","20251227","1"
"225958E","20251011","1"
"225958E","20251018","1"
"225958E","20251025","1"
"225958E","20251101","2"
"225958E","20251108","1"
"225958E","20251115","1"
"225958E","20251122","1"
"225958E","20251129","1"
"225958E","20251206","1"
"225958E","20251213","1"
"225958E","20251220","1"
"225964E","20251222","1"
"225964E","20251223","1"
"225964E","20251224","1"
"225964E","20251227","1"
"225964E","20251229","1"
"225964E","20251230","1"
"225964E","20251231","1"
"225965E","20251222","1"
"225965E","20251223","1"
"225965E","20251224","1"
"225965E","20251227","1"
"225965E","20251229","1"
"225965E","20251230","1"
"225965E","20251231","1"
"225984E","20251015","1"
"225984E","20251022","1"
"225984E","20251029","1"
"225984E","20251105","1"
"225984E","20251112","1"
"225984E","20251119","1"
"225984E","20251126","1"
"225984E","20251203","1"
"225984E","20251210","1"
"225984E","20251217","1"
"225984E","20251224","1"
"225984E","20251231","1"
"225999E","20251222","1"
"225999E","20251223","1"
"225999E","20251224","1"
"225999E","20251229","1"
"225999E","20251230","1"
"225999E","20251231","1"
"226001E","20251222","1"
"226001E","20251223","1"
"226001E","20251224","1"
"226001E","20251229","1"
"226001E","20251230","1"
"226001E","20251231","1"
"226014E","20251012","1"
"226014E","20251019","1"
"226014E","20251026","1"
"226014E","20251101","1"
"226014E","20251102","1"
"226014E","20251109","1"
"226014E","20251116","1"
"226014E","20251123","1"
"226014E","20251130","1"
"226014E","20251207","1"
"226014E","20251208","1"
"226014E","20251214","1"
"226014E","20251221","1"
"226014E","20251226","1"
"226014E","20251228","1"
"226015E","20251012","1"
"226015E","20251019","1"
"226015E","20251026","1"
"226015E","20251101","1"
"226015E","20251102","1"
"226015E","20251109","1"
"226015E","20251116","1"
"226015E","20251123","1"
"226015E","20251130","1"
"226015E","20251207","1"
"226015E","20251208","1"
"226015E","20251214","1"
"226015E","20251221","1"
"226015E","20251226","1"
"226015E","20251228","1"
"226016E","20251012","1"
"226016E","20251019","1"
"226016E","20251026","1"
"226016E","20251101","1"
"226016E","20251102","1"
"226016E","20251109","1"
"226016E","20251116","1"
"226016E","20251123","1"
"226016E","20251130","1"
"226016E","20251207","1"
"226016E","20251208","1"
"226016E","20251214","1"
"226016E","20251221","1"
"226016E","20251226","1"
"226016E","20251228","1"
"226021E","20251011","1"
"226021E","20251018","1"
"226021E","20251025","1"
"226021E","20251101","2"
"226021E","20251108","1"
"226021E","20251115","1"
"226021E","20251122","1"
"226021E","20251129","1"
"226021E","20251206","1"
"226021E","20251213","1"
"226021E","20251220","1"
"226021E","20251227","1"
"226022E","20251011","1"
"226022E","20251018","1"
"226022E","20251025","1"
"226022E","20251101","2"
"226022E","20251108","1"
"226022E","20251115","1"
"226022E","20251122","1"
"226022E","20251129","1"
"226022E","20251206","1"
"226022E","20251213","1"
"226022E","20251220","1"
"226022E","20251227","1"
"226028E","20251015","1"
"226028E","20251022","1"
"226028E","20251029","1"
"226028E","20251105","1"
"226028E","20251112","1"
"226028E","20251119","1"
"226028E","20251126","1"
"226028E","20251203","1"
"226028E","20251210","1"
"226028E","20251217","1"
"226029E","20251010","1"
"226029E","20251017","1"
"226029E","20251024","1"
"226029E","20251031","1"
"226029E","20251107","1"
"226029E","20251114","1"
"226029E","20251121","1"
"226029E","20251128","1"
"226029E","20251205","1"
"226029E","20251212","1"
"226029E","20251219","1"
"226033E","20251222","1"
"226033E","20251223","1"
"226033E","20251224","1"
"226033E","20251227","1"
"226033E","20251229","1"
"226033E","20251230","1"
"226033E","20251231","1"
"226034E","20251222","1"
"226034E","20251223","1"
"226034E","20251224","1"
"226034E","20251227","1"
"226034E","20251229","1"
"226034E","20251230","1"
"226034E","20251231","1"
"226059E","20251222","1"
"226059E","20251223","1"
"226059E","20251224","1"
"226059E","20251229","1"
"226059E","20251230","1"
"226059E","20251231","1"
"226060E","20251222","1"
"226060E","20251223","1"
"226060E","20251224","1"
"226060E","20251229","1"
"226060E","20251230","1"
"226060E","20251231","1"
"226062E","20251222","1"
"226062E","20251223","1"
"226062E","20251224","1"
"226062E","20251229","1"
"226062E","20251230","1"
"226062E","20251231","1"
"226063E","20251222","1"
"226063E","20251223","1"
"226063E","20251224","1"
"226063E","20251229","1"
"226063E","20251230","1"
"226063E","20251231","1"
"226064E","20251222","1"
"226064E","20251223","1"
"226064E","20251224","1"
"226064E","20251229","1"
"226064E","20251230","1"
"226064E","20251231","1"
"226065E","20251222","1"
"226065E","20251223","1"
"226065E","20251224","1"
"226065E","20251229","1"
"226065E","20251230","1"
"226065E","20251231","1"
"226077E","20251012","1"
"226077E","20251019","1"
"226077E","20251026","1"
"226077E","20251101","1"
"226077E","20251102","1"
"226077E","20251109","1"
"226077E","20251116","1"
"226077E","20251123","1"
"226077E","20251130","1"
"226077E","20251207","1"
"226077E","20251208","1"
"226077E","20251214","1"
"226077E","20251221","1"
"226077E","20251226","1"
"226077E","20251228","1"
"226079E","20251225","1"
"226080E","20251011","1"
"226080E","20251018","1"
"226080E","20251025","1"
"226080E","20251101","2"
"226080E","20251108","1"
"226080E","20251115","1"
"226080E","20251122","1"
"226080E","20251129","1"
"226080E","20251206","1"
"226080E","20251213","1"
"226080E","20251220","1"
"226080E","20251227","1"
"226081E","20251011","1"
"226081E","20251018","1"
"226081E","20251025","1"
"226081E","20251101","2"
"226081E","20251108","1"
"226081E","20251115","1"
"226081E","20251122","1"
"226081E","20251129","1"
"226081E","20251206","1"
"226081E","20251213","1"
"226081E","20251220","1"
"226081E","20251227","1"
"226082E","20251011","1"
"226082E","20251018","1"
"226082E","20251025","1"
"226082E","20251101","2"
"226082E","20251108","1"
"226082E","20251115","1"
"226082E","20251122","1"
"226082E","20251129","1"
"226082E","20251206","1"
"226082E","20251213","1"
"226082E","20251220","1"
"226082E","20251227","1"
"226084E","20251227","1"
"226089E","20251227","1"
"226091E","20251013","1"
"226091E","20251020","1"
"226091E","20251027","1"
"226091E","20251103","1"
"226091E","20251110","1"
"226091E","20251117","1"
"226091E","20251124","1"
"226091E","20251201","1"
"226091E","20251208","2"
"226091E","20251215","1"
"226093E","20251009","1"
"226093E","20251016","1"
"226093E","20251023","1"
"226093E","20251030","1"
"226093E","20251106","1"
"226093E","20251113","1"
"226093E","20251120","1"
"226093E","20251127","1"
"226093E","20251204","1"
"226093E","20251211","1"
"226093E","20251218","1"
"226117E","20251013","1"
"226117E","20251020","1"
"226117E","20251027","1"
"226117E","20251103","1"
"226117E","20251110","1"
"226117E","20251117","1"
"226117E","20251124","1"
"226117E","20251201","1"
"226117E","20251208","2"
"226117E","20251215","1"
"226117E","20251222","1"
"226117E","20251229","1"
"226131E","20251222","1"
"226131E","20251223","1"
"226131E","20251224","1"
"226131E","20251229","1"
"226131E","20251230","1"
"226131E","20251231","1"
"226161E","20251225","1"
"226166E","20251011","1"
"226166E","20251018","1"
"226166E","20251025","1"
"226166E","20251101","2"
"226166E","20251108","1"
"226166E","20251115","1"
"226166E","20251122","1"
"226166E","20251129","1"
"226166E","20251206","1"
"226166E","20251213","1"
"226166E","20251220","1"
"226166E","20251227","1"
"226168E","20251013","1"
"226168E","20251020","1"
"226168E","20251027","1"
"226168E","20251103","1"
"226168E","20251110","1"
"226168E","20251117","1"
"226168E","20251124","1"
"226168E","20251201","1"
"226168E","20251208","2"
"226168E","20251215","1"
"226170E","20251013","1"
"226170E","20251015","1"
"226170E","20251020","1"
"226170E","20251022","1"
"226170E","20251027","1"
"226170E","20251029","1"
"226170E","20251103","1"
"226170E","20251105","1"
"226170E","20251110","1"
"226170E","20251112","1"
"226170E","20251117","1"
"226170E","20251119","1"
"226170E","20251124","1"
"226170E","20251126","1"
"226170E","20251201","1"
"226170E","20251203","1"
"226170E","20251208","2"
"226170E","20251210","1"
"226170E","20251215","1"
"226170E","20251217","1"
"226174E","20251009","1"
"226174E","20251015","1"
"226174E","20251016","1"
"226174E","20251022","1"
"226174E","20251023","1"
"226174E","20251029","1"
"226174E","20251030","1"
"226174E","20251105","1"
"226174E","20251106","1"
"226174E","20251112","1"
"226174E","20251113","1"
"226174E","20251119","1"
"226174E","20251120","1"
"226174E","20251126","1"
"226174E","20251127","1"
"226174E","20251203","1"
"226174E","20251204","1"
"226174E","20251210","1"
"226174E","20251211","1"
"226174E","20251217","1"
"226174E","20251218","1"
"226181E","20251222","1"
"226181E","20251223","1"
"226181E","20251224","1"
"226181E","20251227","1"
"226181E","20251229","1"
"226181E","20251230","1"
"226181E","20251231","1"
"226193E","20251013","1"
"226193E","20251020","1"
"226193E","20251027","1"
"226193E","20251103","1"
"226193E","20251110","1"
"226193E","20251117","1"
"226193E","20251124","1"
"226193E","20251201","1"
"226193E","20251208","2"
"226193E","20251215","1"
"226193E","20251222","1"
"226193E","20251229","1"
"226195U","20251015","1"
"226195U","20251022","1"
"226195U","20251029","1"
"226195U","20251105","1"
"226195U","20251112","1"
"226195U","20251119","1"
"226195U","20251126","1"
"226195U","20251203","1"
"226195U","20251210","1"
"226195U","20251217","1"
"226195U","20251224","1"
"226195U","20251231","1"
"226197E","20251009","1"
"226197E","20251016","1"
"226197E","20251023","1"
"226197E","20251030","1"
"226197E","20251106","1"
"226197E","20251113","1"
"226197E","20251120","1"
"226197E","20251127","1"
"226197E","20251204","1"
"226197E","20251211","1"
"226197E","20251218","1"
"226211E","20251222","1"
"226211E","20251223","1"
"226211E","20251224","1"
"226211E","20251229","1"
"226211E","20251230","1"
"226211E","20251231","1"
"226213E","20251222","1"
"226213E","20251223","1"
"226213E","20251224","1"
"226213E","20251229","1"
"226213E","20251230","1"
"226213E","20251231","1"
"226228E","20251225","1"
"226230E","20251011","1"
"226230E","20251018","1"
"226230E","20251025","1"
"226230E","20251101","2"
"226230E","20251108","1"
"226230E","20251115","1"
"226230E","20251122","1"
"226230E","20251129","1"
"226230E","20251206","1"
"226230E","20251213","1"
"226230E","20251220","1"
"226230E","20251227","1"
"226231E","20251011","1"
"226231E","20251018","1"
"226231E","20251025","1"
"226231E","20251101","2"
"226231E","20251108","1"
"226231E","20251115","1"
"226231E","20251122","1"
"226231E","20251129","1"
"226231E","20251206","1"
"226231E","20251213","1"
"226231E","20251220","1"
"226231E","20251227","1"
"226232E","20251011","1"
"226232E","20251018","1"
"226232E","20251025","1"
"226232E","20251101","2"
"226232E","20251108","1"
"226232E","20251115","1"
"226232E","20251122","1"
"226232E","20251129","1"
"226232E","20251206","1"
"226232E","20251213","1"
"226232E","20251220","1"
"226232E","20251227","1"
"226233E","20251011","1"
"226233E","20251018","1"
"226233E","20251025","1"
"226233E","20251101","2"
"226233E","20251108","1"
"226233E","20251115","1"
"226233E","20251122","1"
"226233E","20251129","1"
"226233E","20251206","1"
"226233E","20251213","1"
"226233E","20251220","1"
"226233E","20251227","1"
"226234E","20251009","1"
"226234E","20251013","1"
"226234E","20251015","1"
"226234E","20251016","1"
"226234E","20251020","1"
"226234E","20251022","1"
"226234E","20251023","1"
"226234E","20251027","1"
"226234E","20251029","1"
"226234E","20251030","1"
"226234E","20251103","1"
"226234E","20251105","1"
"226234E","20251106","1"
"226234E","20251110","1"
"226234E","20251112","1"
"226234E","20251113","1"
"226234E","20251117","1"
"226234E","20251119","1"
"226234E","20251120","1"
"226234E","20251124","1"
"226234E","20251126","1"
"226234E","20251127","1"
"226234E","20251201","1"
"226234E","20251203","1"
"226234E","20251204","1"
"226234E","20251208","2"
"226234E","20251210","1"
"226234E","20251211","1"
"226234E","20251215","1"
"226234E","20251217","1"
"226234E","20251218","1"
"226235E","20251009","1"
"226235E","20251013","1"
"226235E","20251016","1"
"226235E","20251020","1"
"226235E","20251023","1"
"226235E","20251027","1"
"226235E","20251030","1"
"226235E","20251103","1"
"226235E","20251106","1"
"226235E","20251110","1"
"226235E","20251113","1"
"226235E","20251117","1"
"226235E","20251120","1"
"226235E","20251124","1"
"226235E","20251127","1"
"226235E","20251201","1"
"226235E","20251204","1"
"226235E","20251208","2"
"226235E","20251211","1"
"226235E","20251215","1"
"226235E","20251218","1"
"226239E","20251011","1"
"226239E","20251018","1"
"226239E","20251025","1"
"226239E","20251101","2"
"226239E","20251108","1"
"226239E","20251115","1"
"226239E","20251122","1"
"226239E","20251129","1"
"226239E","20251206","1"
"226239E","20251213","1"
"226239E","20251220","1"
"226240E","20251011","1"
"226240E","20251018","1"
"226240E","20251025","1"
"226240E","20251101","2"
"226240E","20251108","1"
"226240E","20251115","1"
"226240E","20251122","1"
"226240E","20251129","1"
"226240E","20251206","1"
"226240E","20251213","1"
"226240E","20251220","1"
"226254U","20251011","1"
"226254U","20251012","1"
"226254U","20251018","1"
"226254U","20251019","1"
"226254U","20251025","1"
"226254U","20251026","1"
"226254U","20251101","1"
"226254U","20251102","1"
"226254U","20251108","1"
"226254U","20251109","1"
"226254U","20251115","1"
"226254U","20251116","1"
"226254U","20251122","1"
"226254U","20251123","1"
"226254U","20251129","1"
"226254U","20251130","1"
"226254U","20251206","1"
"226254U","20251207","1"
"226254U","20251208","1"
"226254U","20251213","1"
"226254U","20251214","1"
"226254U","20251220","1"
"226254U","20251221","1"
"226254U","20251225","1"
"226254U","20251226","1"
"226254U","20251227","1"
"226254U","20251228","1"
"226271E","20251013","1"
"226271E","20251020","1"
"226271E","20251027","1"
"226271E","20251103","1"
"226271E","20251110","1"
"226271E","20251117","1"
"226271E","20251124","1"
"226271E","20251201","1"
"226271E","20251208","2"
"226271E","20251215","1"
"226271E","20251222","1"
"226271E","20251229","1"
"226273E","20251010","1"
"226273E","20251017","1"
"226273E","20251024","1"
"226273E","20251031","1"
"226273E","20251107","1"
"226273E","20251114","1"
"226273E","20251121","1"
"226273E","20251128","1"
"226273E","20251205","1"
"226273E","20251212","1"
"226273E","20251219","1"
"226284E","20251222","1"
"226284E","20251223","1"
"226284E","20251224","1"
"226284E","20251229","1"
"226284E","20251230","1"
"226284E","20251231","1"
"226286E","20251222","1"
"226286E","20251223","1"
"226286E","20251224","1"
